District,State,Agency_ID,Students,TOTALREV,TLOCREV,TSTREV,TFEDREV,TOTALEXP,TOTALREV_PUPIL,TLOCREV_PUPIL,TSTREV_PUPIL,TFEDREV_PUPIL
CUDAHY SCHOOL DISTRICT,Wisconsin,5503060,2519,36569000,15098000,19024000,2447000,34321000,14517,5994,7552,971
MARSHALL,Missouri,2920410,2519,24776000,11419000,10652000,2705000,23651000,9836,4533,4229,1074
ESTILL COUNTY,Kentucky,2101760,2518,26604000,3356000,19194000,4054000,26077000,10566,1333,7623,1610
FALLS CHURCH CITY PBLC SCHS,Virginia,5101290,2518,48666000,42072000,5968000,626000,49951000,19327,16708,2370,249
HARVARD CUSD 50,Illinois,1718420,2518,38017000,15834000,19064000,3119000,36281000,15098,6288,7571,1239
NORTH SANPETE DISTRICT,Utah,4900660,2517,22812000,7189000,13462000,2161000,21624000,9063,2856,5348,859
YORKSHIRE-PIONEER CENTRAL SCHOOL DISTRICT,New York,3608970,2515,53983000,11942000,39021000,3020000,59032000,21464,4748,15515,1201
SCOTIA-GLENVILLE CENTRAL SCHOOL DISTRICT,New York,3626310,2514,50368000,26002000,22769000,1597000,49759000,20035,10343,9057,635
OSKALOOSA COMM SCHOOL DISTRICT,Iowa,1921870,2513,30976000,11758000,17404000,1814000,28116000,12326,4679,6926,722
BANGOR TOWNSHIP SCHOOLS,Michigan,2603900,2511,24320000,4405000,18794000,1121000,23217000,9685,1754,7485,446
BLECKLEY COUNTY,Georgia,1300440,2511,24935000,6154000,15508000,3273000,23819000,9930,2451,6176,1303
WATERFORD SCHOOL DISTRICT,Connecticut,904860,2511,62398000,52695000,8596000,1107000,57913000,24850,20986,3423,441
CARMEL UNIFIED,California,607530,2510,59025000,50410000,7719000,896000,54349000,23516,20084,3075,357
RSU 21,Maine,2314773,2510,43617000,34841000,7533000,1243000,49621000,17377,13881,3001,495
OTTAWA,Kansas,2000015,2509,30841000,6745000,21684000,2412000,34468000,12292,2688,8642,961
PRESTON JOINT DISTRICT,Idaho,1600960,2509,16531000,1475000,13205000,1851000,15889000,6589,588,5263,738
FRANKFORT CCSD 157C,Illinois,1715700,2507,39504000,31460000,7574000,470000,30932000,15757,12549,3021,187
POLK COUNTY,Tennessee,4703450,2507,22145000,5191000,14013000,2941000,21687000,8833,2071,5590,1173
EMMETT INDEPENDENT DISTRICT,Idaho,1601020,2506,21143000,3917000,14826000,2400000,19864000,8437,1563,5916,958
LANSING SD 158,Illinois,1722020,2506,40010000,20254000,17241000,2515000,35035000,15966,8082,6880,1004
JASPER ISD,Texas,4824630,2505,27769000,12853000,11328000,3588000,26486000,11085,5131,4522,1432
SBC - HIGH TECH HIGH,California,601322,2505,,,,,,,,,
SALIDA UNION ELEMENTARY,California,633900,2502,33404000,7633000,21590000,4181000,31517000,13351,3051,8629,1671
PORTAGE COMMUNITY SCHOOL DISTRICT,Wisconsin,5512060,2501,31134000,14685000,14871000,1578000,28442000,12449,5872,5946,631
BELLWOOD SD 88,Illinois,1705760,2500,36503000,15629000,17752000,3122000,34738000,14601,6252,7101,1249
DEER PARK SCHOOL DISTRICT,Washington,5302070,2500,28746000,5784000,21319000,1643000,25713000,11498,2314,8528,657
ORTING SCHOOL DISTRICT,Washington,5306450,2500,30126000,9061000,20041000,1024000,26322000,12050,3624,8016,410
WESTERN SCHOOL CORPORATION,Indiana,1804470,2500,29446000,6674000,19059000,3713000,30437000,11778,2670,7624,1485
RIDGEFIELD SCHOOL DISTRICT,Washington,5307350,2499,29294000,9694000,18900000,700000,27908000,11722,3879,7563,280
CORTLAND CITY SCHOOL DISTRICT,New York,3608460,2498,48330000,15956000,29505000,2869000,52052000,19347,6388,11811,1149
WOODLAND PARK SCHOOL DISTRICT NO. RE-2,Colorado,807380,2498,23861000,11430000,11216000,1215000,21958000,9552,4576,4490,486
FERRIS ISD,Texas,4819170,2497,27120000,4720000,19283000,3117000,28506000,10861,1890,7722,1248
MCPHERSON,Kansas,2009390,2495,26375000,8122000,16291000,1962000,25022000,10571,3255,6529,786
BAY VILLAGE CITY,Ohio,3904354,2494,37285000,27113000,9415000,757000,40751000,14950,10871,3775,304
TIPP CITY EXEMPTED VILLAGE,Ohio,3904561,2494,28898000,17844000,10224000,830000,25678000,11587,7155,4099,333
GENEVA AREA CITY,Ohio,3904405,2491,25789000,11026000,12427000,2336000,24928000,10353,4426,4989,938
NEW FAIRFIELD SCHOOL DISTRICT,Connecticut,902730,2490,47015000,36228000,10083000,704000,45093000,18882,14549,4049,283
MORIARTY-EDGEWOOD SCHOOL DISTRICT,New Mexico,3501890,2489,29272000,6361000,19796000,3115000,30992000,11761,2556,7953,1252
NORTHERN VALLEY REGIONAL HIGH SCHOOL DISTRICT,New Jersey,3411760,2489,88550000,78737000,8982000,831000,86563000,35577,31634,3609,334
HARRISON PUBLIC SCHOOLS,New Jersey,3406870,2488,50523000,11541000,35724000,3258000,52539000,20307,4639,14359,1309
RAVENNA CITY,Ohio,3904468,2488,33800000,12746000,17712000,3342000,30453000,13585,5123,7119,1343
BULLARD ISD,Texas,4812060,2487,27232000,15772000,10564000,896000,63919000,10950,6342,4248,360
NEVADA R-V,Missouri,2921840,2487,24564000,11196000,10505000,2863000,23323000,9877,4502,4224,1151
BETHALTO CUSD 8,Illinois,1706120,2485,30004000,10999000,16778000,2227000,30194000,12074,4426,6752,896
BALSZ ELEMENTARY DISTRICT,Arizona,401050,2484,27211000,13168000,8169000,5874000,22745000,10955,5301,3289,2365
LYNDHURST SCHOOL DISTRICT,New Jersey,3409210,2484,44254000,36216000,6697000,1341000,43596000,17816,14580,2696,540
SPRING LAKE PUBLIC SCHOOLS,Michigan,2632550,2483,31029000,12115000,18503000,411000,61307000,12497,4879,7452,166
SCHOOL DISTRICT NO. C-1 IN THE COUNTY OF ELBERT AND STATE O,Colorado,803720,2481,23903000,9843000,13169000,891000,22382000,9634,3967,5308,359
CINNAMINSON TOWNSHIP PUBLIC SCHOOLS,New Jersey,3403120,2480,51861000,36345000,14469000,1047000,83333000,20912,14655,5834,422
PORTSMOUTH,Rhode Island,4400870,2480,42213000,32776000,7529000,1908000,41938000,17021,13216,3036,769
VALLEY VIEW SD,Pennsylvania,4224650,2477,30948000,16009000,13862000,1077000,30957000,12494,6463,5596,435
BYRAM HILLS CENTRAL SCHOOL DISTRICT,New York,3606060,2476,88854000,80829000,7418000,607000,83864000,35886,32645,2996,245
PITTSBURG ISD,Texas,4835010,2476,24663000,8691000,13076000,2896000,25407000,9961,3510,5281,1170
EASTERN YORK SD,Pennsylvania,4208790,2475,42931000,26823000,14775000,1333000,41290000,17346,10838,5970,539
NORTH PIKE SCHOOL DIST,Mississippi,2803240,2473,20357000,4573000,13266000,2518000,19241000,8232,1849,5364,1018
PECOS-BARSTOW-TOYAH ISD,Texas,4834550,2473,50482000,45444000,1973000,3065000,49740000,20413,18376,798,1239
WEST PERRY SD,Pennsylvania,4225740,2473,38438000,19079000,17445000,1914000,36517000,15543,7715,7054,774
AIRPORT COMMUNITY SCHOOLS,Michigan,2601980,2471,27360000,7165000,18938000,1257000,26644000,11072,2900,7664,509
GLEN ROCK PUBLIC SCHOOL DISTRICT,New Jersey,3405970,2471,53716000,46209000,6928000,579000,52642000,21739,18701,2804,234
AUBURN,Massachusetts,2502220,2470,43355000,26046000,16232000,1077000,45234000,17553,10545,6572,436
HIBBING PUBLIC SCHOOL DISTRICT,Minnesota,2713980,2470,31728000,7696000,22362000,1670000,30268000,12845,3116,9053,676
EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),New York,3616560,2469,55392000,17638000,35143000,2611000,53123000,22435,7144,14234,1058
MADISON PUBLIC SCHOOL DISTRICT,New Jersey,3409240,2469,60131000,52742000,6526000,863000,48743000,24354,21362,2643,350
PENDLETON COUNTY,Kentucky,2104740,2469,26710000,5950000,17888000,2872000,24033000,10818,2410,7245,1163
STORM LAKE COMM SCHOOL DISTRICT,Iowa,1927390,2469,31749000,10081000,18663000,3005000,32984000,12859,4083,7559,1217
DELANO PUBLIC SCHOOL DISTRICT,Minnesota,2710170,2468,29983000,8826000,20685000,472000,30895000,12149,3576,8381,191
MAINE-ENDWELL CENTRAL SCHOOL DISTRICT,New York,3618150,2468,53576000,23126000,28876000,1574000,51710000,21708,9370,11700,638
CHELSEA SCHOOL DISTRICT,Michigan,2608940,2466,33566000,15256000,17989000,321000,30007000,13612,6187,7295,130
MARSHALL PUBLIC SCHOOL DISTRICT,Minnesota,2718940,2466,34822000,8658000,24566000,1598000,38277000,14121,3511,9962,648
SHAWNEE LOCAL,Ohio,3904579,2466,25478000,15460000,8604000,1414000,25197000,10332,6269,3489,573
WOODBRIDGE SCHOOL DISTRICT,Delaware,1001850,2466,38377000,8899000,25769000,3709000,37667000,15562,3609,10450,1504
JERSEY SHORE AREA SD,Pennsylvania,4212480,2465,40561000,17395000,21827000,1339000,38306000,16455,7057,8855,543
ELIZABETHTOWN INDEPENDENT,Kentucky,2101650,2464,26481000,7167000,17074000,2240000,32807000,10747,2909,6929,909
FORT STOCKTON ISD,Texas,4820190,2464,29444000,15831000,11314000,2299000,31865000,11950,6425,4592,933
THOMASVILLE CITY SCHOOLS,North Carolina,3704500,2464,25238000,5528000,14507000,5203000,26807000,10243,2244,5888,2112
BELLE VERNON AREA SD,Pennsylvania,4203210,2463,36816000,18318000,16804000,1694000,38395000,14948,7437,6823,688
CHICKASHA,Oklahoma,4007560,2463,22077000,7305000,12360000,2412000,20271000,8963,2966,5018,979
DANVILLE COMMUNITY SCHOOL CORP,Indiana,1802550,2463,34942000,15741000,18070000,1131000,26486000,14187,6391,7337,459
GROVE,Oklahoma,4013530,2461,21822000,12077000,7501000,2244000,19626000,8867,4907,3048,912
CHARLOTTE PUBLIC SCHOOLS,Michigan,2608770,2460,30343000,10006000,18191000,2146000,30142000,12335,4067,7395,872
ELIDA LOCAL,Ohio,3904577,2459,27819000,15565000,10368000,1886000,24687000,11313,6330,4216,767
LYONS SD 103,Illinois,1723850,2458,37727000,21133000,14958000,1636000,37680000,15349,8598,6085,666
TUNKHANNOCK AREA SD,Pennsylvania,4223850,2458,46658000,24119000,20999000,1540000,48619000,18982,9812,8543,627
EAST GREENWICH,Rhode Island,4400300,2455,41341000,33858000,6325000,1158000,41188000,16840,13791,2576,472
HURON SCHOOL DISTRICT 02-2,South Dakota,4635480,2455,26363000,13145000,9889000,3329000,29622000,10738,5354,4028,1356
BASEHOR-LINWOOD,Kansas,2003780,2454,26301000,8235000,17630000,436000,26662000,10718,3356,7184,178
CCSD 146,Illinois,1739030,2454,50399000,34320000,14247000,1832000,45303000,20537,13985,5806,747
MARSHALL PUBLIC SCHOOLS,Michigan,2622970,2454,30820000,9247000,19797000,1776000,27243000,12559,3768,8067,724
DEFIANCE CITY,Ohio,3904386,2452,51851000,14982000,34657000,2212000,37610000,21146,6110,14134,902
TROTWOOD-MADISON CITY,Ohio,3904869,2451,38783000,11107000,23460000,4216000,40510000,15823,4532,9572,1720
GRANVILLE EXEMPTED VILLAGE,Ohio,3904539,2450,37018000,27273000,9219000,526000,31757000,15109,11132,3763,215
POWELL COUNTY,Kentucky,2104890,2450,25094000,3250000,17781000,4063000,25406000,10242,1327,7258,1658
TAYLOR COUNTY SCHOOLS,West Virginia,5401380,2450,27956000,9869000,15251000,2836000,25757000,11411,4028,6225,1158
TUSCARORA SD,Pennsylvania,4222740,2450,37664000,20515000,15927000,1222000,35464000,15373,8373,6501,499
MOSCOW DISTRICT,Idaho,1602220,2449,26285000,11861000,12330000,2094000,24993000,10733,4843,5035,855
WINSTON COUNTY,Alabama,103580,2449,26086000,7750000,15593000,2743000,25019000,10652,3165,6367,1120
SOUTH BURLINGTON SCHOOL DISTRICT,Vermont,5007470,2448,50771000,5102000,44392000,1277000,50754000,20740,2084,18134,522
GARDNER,Massachusetts,2505130,2447,36447000,12042000,22310000,2095000,35099000,14895,4921,9117,856
TEMPLETON UNIFIED,California,639000,2447,27751000,13137000,13758000,856000,28198000,11341,5369,5622,350
GRAHAM ISD,Texas,4821360,2446,24376000,10679000,11781000,1916000,25057000,9966,4366,4816,783
MOUNT PLEASANT ELEMENTARY,California,626400,2445,80927000,10594000,51118000,19215000,82688000,33099,4333,20907,7859
SOUTH BUTLER COUNTY SD,Pennsylvania,4221930,2443,35116000,20024000,14506000,586000,32463000,14374,8196,5938,240
KIPP SAN ANTONIO,Texas,4800257,2442,32418000,7488000,22290000,2640000,22967000,13275,3066,9128,1081
JUAB DISTRICT,Utah,4900450,2441,19857000,7595000,10648000,1614000,20410000,8135,3111,4362,661
O FALLON TWP HSD 203,Illinois,1729790,2441,33896000,21306000,11119000,1471000,31900000,13886,8728,4555,603
DELAWARE COMMUNITY SCHOOL CORP,Indiana,1802660,2440,26968000,6321000,19121000,1526000,25483000,11052,2591,7836,625
CARY CCSD 26,Illinois,1708730,2438,38460000,26521000,10627000,1312000,32269000,15775,10878,4359,538
BERTIE COUNTY SCHOOLS,North Carolina,3700360,2435,29066000,4246000,18870000,5950000,30628000,11937,1744,7749,2444
BELLEFONTAINE CITY,Ohio,3904358,2434,29882000,10981000,15456000,3445000,28083000,12277,4512,6350,1415
KODIAK ISLAND BOROUGH SCHOOL DISTRICT,Alaska,200480,2434,53750000,11222000,37013000,5515000,57229000,22083,4611,15207,2266
DEQUEEN SCHOOL DISTRICT,Arkansas,500049,2431,24278000,4509000,16322000,3447000,23003000,9987,1855,6714,1418
MILLBRAE ELEMENTARY,California,624900,2431,32173000,20637000,10568000,968000,26026000,13234,8489,4347,398
WEST ORANGE-COVE CISD,Texas,4845090,2431,34579000,25639000,2063000,6877000,30434000,14224,10547,849,2829
EATON RAPIDS PUBLIC SCHOOLS,Michigan,2612690,2428,27244000,7050000,18556000,1638000,25782000,11221,2904,7643,675
QUABBIN,Massachusetts,2500001,2428,40346000,17835000,20896000,1615000,37754000,16617,7346,8606,665
GREENE COUNTY,Georgia,1302490,2427,35866000,24641000,7224000,4001000,35986000,14778,10153,2977,1649
GILMER ISD,Texas,4820700,2426,24671000,10946000,11681000,2044000,22615000,10169,4512,4815,843
JASPER COUNTY,Georgia,1302970,2426,25646000,9411000,12540000,3695000,23518000,10571,3879,5169,1523
NEW PROVIDENCE SCHOOL DISTRICT,New Jersey,3411310,2425,41752000,35572000,5509000,671000,39988000,17217,14669,2272,277
STEUBENVILLE CITY,Ohio,3904482,2425,29210000,9376000,16077000,3757000,27089000,12045,3866,6630,1549
MONROE CO SCHOOL DIST,Mississippi,2802940,2424,22289000,6243000,12393000,3653000,21702000,9195,2575,5113,1507
RHINELANDER SCHOOL DISTRICT,Wisconsin,5512720,2424,36287000,27510000,6477000,2300000,33353000,14970,11349,2672,949
SCAPPOOSE SD 1J,Oregon,4110980,2424,25695000,10993000,13750000,952000,23448000,10600,4535,5672,393
BLACKHAWK SD,Pennsylvania,4203688,2423,35166000,18260000,16109000,797000,33079000,14513,7536,6648,329
GONZALES UNIFIED,California,600046,2423,32570000,10272000,19347000,2951000,31777000,13442,4239,7985,1218
BIDDEFORD PUBLIC SCHOOLS,Maine,2303150,2422,39410000,23762000,12902000,2746000,35749000,16272,9811,5327,1134
BROOKLYN CENTER SCHOOL DISTRICT,Minnesota,2706240,2422,37904000,6838000,28413000,2653000,34465000,15650,2823,11731,1095
JACKSON CITY,Ohio,3904415,2422,27113000,9945000,14874000,2294000,25601000,11194,4106,6141,947
MITCHELL COUNTY,Georgia,1303690,2421,31672000,15974000,12056000,3642000,33060000,13082,6598,4980,1504
RICHLAND COUNTY CUSD 1,Illinois,1713290,2421,28769000,10072000,16656000,2041000,27005000,11883,4160,6880,843
RSU 75/MSAD 75,Maine,2314768,2421,43434000,23906000,17684000,1844000,40328000,17941,9874,7304,762
EASTERN LEBANON COUNTY SD,Pennsylvania,4208460,2420,38707000,27446000,10242000,1019000,35064000,15995,11341,4232,421
SAN RAFAEL CITY HIGH,California,635110,2420,38785000,32793000,4881000,1111000,36395000,16027,13551,2017,459
MEDFORD AREA PUBLIC SCHOOL DISTRICT,Wisconsin,5508940,2419,26304000,10663000,13856000,1785000,25898000,10874,4408,5728,738
GROTON-DUNSTABLE,Massachusetts,2505500,2418,44148000,26045000,17012000,1091000,40462000,18258,10771,7036,451
LEDYARD SCHOOL DISTRICT,Connecticut,902160,2418,44932000,24272000,19504000,1156000,44376000,18582,10038,8066,478
YAZOO CITY MUNICIPAL SCHOOL DIST,Mississippi,2804770,2418,20887000,2927000,12920000,5040000,18884000,8638,1211,5343,2084
MADISON COUNTY SCHOOLS,North Carolina,3702820,2417,25058000,4635000,18151000,2272000,25192000,10367,1918,7510,940
EPHRATA SCHOOL DISTRICT,Washington,5302610,2414,27808000,4701000,20876000,2231000,26709000,11519,1947,8648,924
KNOTT COUNTY,Kentucky,2103120,2414,28783000,7351000,16457000,4975000,26970000,11923,3045,6817,2061
HUDSON FALLS CENTRAL SCHOOL DISTRICT,New York,3614970,2413,44635000,10718000,30962000,2955000,42889000,18498,4442,12831,1225
OCTORARA AREA SD,Pennsylvania,4218030,2412,50001000,34476000,14169000,1356000,47006000,20730,14294,5874,562
WILLS POINT ISD,Texas,4845950,2412,23022000,6430000,14209000,2383000,20774000,9545,2666,5891,988
WINN PARISH,Louisiana,2202010,2411,27441000,7313000,16609000,3519000,25948000,11382,3033,6889,1460
FSU LAB SCH,Florida,1202013,2410,,,,,,,,,
BELGRADE ELEM,Montana,3003290,2409,24160000,10110000,12316000,1734000,23425000,10029,4197,5112,720
GILES CO PBLC SCHS,Virginia,5101590,2408,26733000,9313000,15166000,2254000,25347000,11102,3868,6298,936
WAYNE COUNTY,Tennessee,4704440,2408,23259000,5315000,15069000,2875000,22659000,9659,2207,6258,1194
NEW RICHMOND EXEMPTED VILLAGE,Ohio,3904555,2407,30623000,16750000,11728000,2145000,31098000,12722,6959,4872,891
ONTARIO SD 8C,Oregon,4109270,2407,31563000,6581000,20379000,4603000,30098000,13113,2734,8467,1912
MONROE SCHOOL DISTRICT,Wisconsin,5509840,2406,33951000,13078000,18538000,2335000,32539000,14111,5436,7705,970
LEFLORE CO SCHOOL DIST,Mississippi,2802580,2405,24402000,6318000,11875000,6209000,23915000,10146,2627,4938,2582
REGIONAL SCHOOL DISTRICT 10,Connecticut,903520,2405,45485000,30978000,13753000,754000,44079000,18913,12881,5719,314
UNICOI COUNTY,Tennessee,4704230,2405,22724000,5664000,14037000,3023000,23775000,9449,2355,5837,1257
WEST NOBLE SCHOOL CORPORATION,Indiana,1812900,2405,27635000,6404000,19548000,1683000,25329000,11491,2663,8128,700
MORGAN COUNTY SCHOOLS,West Virginia,5400990,2404,27538000,10244000,14740000,2554000,27259000,11455,4261,6131,1062
FAYETTE COUNTY,Alabama,101470,2403,22528000,5362000,14527000,2639000,21990000,9375,2231,6045,1098
GROVE CITY AREA SD,Pennsylvania,4211220,2403,38704000,22322000,15910000,472000,37259000,16107,9289,6621,196
ROCKAWAY TOWNSHIP SCHOOL DISTRICT,New Jersey,3414130,2403,54168000,44530000,8205000,1433000,54998000,22542,18531,3414,596
SNOWFLAKE UNIFIED DISTRICT,Arizona,407820,2402,17235000,5331000,9844000,2060000,15812000,7175,2219,4098,858
MEDWAY,Massachusetts,2507590,2401,39708000,24388000,14308000,1012000,37496000,16538,10157,5959,421
NORTHBRIDGE,Massachusetts,2508940,2401,35613000,15358000,18692000,1563000,34694000,14833,6397,7785,651
VAN ISD,Texas,4843920,2401,44053000,28232000,13866000,1955000,39733000,18348,11758,5775,814
ERLANGER-ELSMERE INDEPENDENT,Kentucky,2101740,2400,29300000,9799000,15417000,4084000,26947000,12208,4083,6424,1702
HELENDALE ELEMENTARY,California,616860,2400,25249000,2503000,21894000,852000,23144000,10520,1043,9123,355
LIBERTYVILLE SD 70,Illinois,1722800,2400,43922000,31521000,11924000,477000,43376000,18301,13134,4968,199
OKLAHOMA VIRTUAL CHARTER ACAD,Oklahoma,4000778,2400,12203000,33000,10522000,1648000,12211000,5085,14,4384,687
WESTON SCHOOL DISTRICT,Connecticut,905010,2399,64713000,55178000,8873000,662000,60570000,26975,23000,3699,276
ANTIGO UNIFIED SCHOOL DISTRICT,Wisconsin,5500360,2397,30465000,10987000,17150000,2328000,29473000,12710,4584,7155,971
HAMPTON 01,South Carolina,4502430,2397,29192000,7873000,15379000,5940000,28496000,12179,3285,6416,2478
SAVANNA ELEMENTARY,California,636030,2397,29874000,9327000,18261000,2286000,32148000,12463,3891,7618,954
VANGUARD ACADEMY,Texas,4800195,2397,25566000,1469000,21656000,2441000,18604000,10666,613,9035,1018
MARLINGTON LOCAL,Ohio,3904988,2396,25586000,12716000,11111000,1759000,24579000,10679,5307,4637,734
STONEHAM,Massachusetts,2511220,2396,44389000,34010000,9183000,1196000,41520000,18526,14194,3833,499
BOURBONNAIS SD 53,Illinois,1706750,2395,28446000,14946000,11677000,1823000,26471000,11877,6241,4876,761
SHOW LOW UNIFIED DISTRICT,Arizona,407700,2394,18389000,8955000,7352000,2082000,16522000,7681,3741,3071,870
HARDY COUNTY SCHOOLS,West Virginia,5400480,2393,26763000,7286000,16675000,2802000,27439000,11184,3045,6968,1171
LENOIR CITY,Tennessee,4702400,2393,23087000,11331000,9638000,2118000,22412000,9648,4735,4028,885
BARBOUR COUNTY SCHOOLS,West Virginia,5400030,2392,24617000,4594000,16673000,3350000,24614000,10291,1921,6970,1401
MEXICO 59,Missouri,2920810,2392,25003000,14221000,7994000,2788000,23844000,10453,5945,3342,1166
MACONAQUAH SCHOOL CORP,Indiana,1806090,2391,26316000,7446000,17580000,1290000,22694000,11006,3114,7353,540
NILES CITY,Ohio,3904449,2390,29886000,9873000,17391000,2622000,30957000,12505,4131,7277,1097
PENNSYLVANIA LEADERSHIP CHARTER SCHOOL,Pennsylvania,4200127,2390,32449000,31775000,36000,638000,30965000,13577,13295,15,267
PLAINVILLE SCHOOL DISTRICT,Connecticut,903300,2390,47725000,27560000,19073000,1092000,45602000,19969,11531,7980,457
SMITHFIELD,Rhode Island,4400990,2390,39013000,30117000,7483000,1413000,38651000,16323,12601,3131,591
CRAWFORDSVILLE COMMUNITY SCHOOLS,Indiana,1802460,2388,33260000,10586000,19601000,3073000,31377000,13928,4433,8208,1287
MIAMI,Oklahoma,4019860,2387,19532000,4191000,12517000,2824000,18840000,8183,1756,5244,1183
PLANO CUSD 88,Illinois,1731770,2387,35490000,18174000,16155000,1161000,33064000,14868,7614,6768,486
RIVER DELTA JOINT UNIFIED,California,633110,2386,28200000,15258000,11291000,1651000,22779000,11819,6395,4732,692
TALLMADGE CITY,Ohio,3904488,2385,30938000,17895000,11593000,1450000,29962000,12972,7503,4861,608
NORTH BRANCH AREA SCHOOLS,Michigan,2625680,2384,24089000,4273000,18895000,921000,22966000,10104,1792,7926,386
BURRILLVILLE,Rhode Island,4400090,2383,36426000,18248000,16107000,2071000,34764000,15286,7658,6759,869
ESCANABA AREA PUBLIC SCHOOLS,Michigan,2613500,2383,27165000,8417000,17320000,1428000,26345000,11399,3532,7268,599
LARUE COUNTY,Kentucky,2103180,2383,26168000,4680000,18680000,2808000,24956000,10981,1964,7839,1178
MONETT R-I,Missouri,2921120,2383,28097000,11383000,12999000,3715000,25352000,11791,4777,5455,1559
CHANDLER PARK ACADEMY,Michigan,2600168,2381,21735000,165000,18824000,2746000,22060000,9129,69,7906,1153
MOUNT SINAI UNION FREE SCHOOL DISTRICT,New York,3620040,2381,57579000,34643000,22220000,716000,55626000,24183,14550,9332,301
BELCHERTOWN,Massachusetts,2502430,2380,37236000,17691000,18445000,1100000,34532000,15645,7433,7750,462
KOSCIUSKO SCHOOL DISTRICT,Mississippi,2802340,2380,19254000,5308000,11095000,2851000,18358000,8090,2230,4662,1198
GREENSBURG COMMUNITY SCHOOLS,Indiana,1804080,2378,26667000,7337000,17539000,1791000,25649000,11214,3085,7376,753
HENDRICK HUDSON CENTRAL SCHOOL DISTRICT,New York,3614190,2378,75986000,62504000,12365000,1117000,72654000,31954,26284,5200,470
CLOVERLEAF LOCAL,Ohio,3904848,2377,34775000,23259000,9927000,1589000,30045000,14630,9785,4176,668
HART COUNTY,Kentucky,2102640,2377,28093000,5495000,18615000,3983000,29650000,11819,2312,7831,1676
NEW LONDON SCHOOL DISTRICT,Wisconsin,5510590,2373,30817000,12567000,16703000,1547000,27744000,12987,5296,7039,652
CENTRAL VALLEY CSD AT ILION-MOHAWK,New York,3601087,2372,49487000,7099000,38883000,3505000,47153000,20863,2993,16392,1478
MAUMEE CITY,Ohio,3904436,2372,36605000,24925000,10261000,1419000,34407000,15432,10508,4326,598
WAHLUKE SCHOOL DISTRICT,Washington,5309360,2371,28419000,2979000,21444000,3996000,26036000,11986,1256,9044,1685
LEXINGTON LOCAL,Ohio,3904943,2369,25271000,12769000,11390000,1112000,23013000,10667,5390,4808,469
PERRYTON ISD,Texas,4834650,2367,26721000,22069000,1949000,2703000,28199000,11289,9324,823,1142
FABENS ISD,Texas,4818900,2366,26150000,2878000,20436000,2836000,28679000,11052,1216,8637,1199
FARMINGTON SCHOOL DISTRICT,Arkansas,506090,2366,23549000,7745000,14036000,1768000,23045000,9953,3273,5932,747
TWIN LAKES SCHOOL CORP,Indiana,1811580,2363,27278000,7299000,18408000,1571000,25819000,11544,3089,7790,665
ANSONIA SCHOOL DISTRICT,Connecticut,900060,2361,46602000,18057000,25453000,3092000,42230000,19738,7648,10781,1310
ASHBURNHAM-WESTMINSTER,Massachusetts,2502040,2361,34748000,18726000,14633000,1389000,32745000,14717,7931,6198,588
FULTON 58,Missouri,2912550,2361,21988000,11376000,8387000,2225000,20486000,9313,4818,3552,942
POTEAU,Oklahoma,4024870,2360,18382000,4208000,11666000,2508000,19275000,7789,1783,4943,1063
LEHIGHTON AREA SD,Pennsylvania,4213500,2358,38285000,22145000,14812000,1328000,55651000,16236,9391,6282,563
ROCKLAND,Massachusetts,2510170,2358,39843000,22103000,16115000,1625000,37703000,16897,9374,6834,689
LANSINGBURGH CENTRAL SCHOOL DISTRICT,New York,3616740,2357,45947000,13399000,29600000,2948000,45499000,19494,5685,12558,1251
WINFIELD,Kansas,2013050,2357,26238000,5078000,19629000,1531000,23543000,11132,2154,8328,650
BEACH PARK CCSD 3,Illinois,1700010,2356,42305000,19450000,20671000,2184000,37647000,17956,8256,8774,927
CLARK TOWNSHIP PUBLIC SCHOOLS,New Jersey,3403150,2355,39887000,33320000,5751000,816000,39856000,16937,14149,2442,346
HAWTHORNE PUBLIC SCHOOL DISTRICT,New Jersey,3406990,2355,45429000,37209000,6635000,1585000,43624000,19290,15800,2817,673
HUNTSVILLE SCHOOL DISTRICT,Arkansas,508130,2355,22133000,6296000,13361000,2476000,21727000,9398,2673,5673,1051
CASTAIC UNION,California,607740,2354,32876000,14353000,17711000,812000,26197000,13966,6097,7524,345
WARREN COUNTY SCHOOLS,North Carolina,3704740,2354,27774000,5962000,17547000,4265000,27015000,11799,2533,7454,1812
WELD COUNTY REORGANIZED SCHOOL DISTRICT NO. RE-8,Colorado,804020,2354,27322000,23254000,1597000,2471000,27135000,11607,9879,678,1050
CELINA ISD,Texas,4813290,2353,27540000,16020000,10812000,708000,25563000,11704,6808,4595,301
SUFFIELD SCHOOL DISTRICT,Connecticut,904470,2353,45389000,30763000,13720000,906000,43738000,19290,13074,5831,385
TRINITY BASIN PREPARATORY,Texas,4800092,2353,22980000,99000,20405000,2476000,19099000,9766,42,8672,1052
LAMAR COUNTY,Alabama,101950,2351,22275000,4907000,14731000,2637000,23060000,9475,2087,6266,1122
MICHIGAN GREAT LAKES VIRTUAL ACADEMY,Michigan,2601070,2351,18091000,0,18091000,0,18090000,7695,0,7695,0
BROOKLAND SCHOOL DISTRICT,Arkansas,503640,2350,24526000,6646000,16521000,1359000,28601000,10437,2828,7030,578
